Method,Count,Mean_Direction_deg,Circular_Std_deg,Period_10pct_s,Period_50pct_s,Period_90pct_s
BM Extremes,27,255.93683844995707,11.637688580337961,8.936,9.47,10.680000000000001
POT Extremes,189,260.77470290112547,13.296740830247732,7.948,8.72,9.944
All Data,236688,275.4938137953415,34.48214105715216,,,
