date-time,hs,uwnd,vwnd,wspd,wdir
1994-02-03 19:00:00,6.164,10.6,10.5,14.920120642943877,225.27154194568453
1995-09-07 14:00:00,7.448,19.8,12.3,23.309440147716977,238.1509486809447
1996-02-07 16:00:00,6.55,19.8,-8.6,21.587033144922902,293.47739989209293
1997-11-09 12:00:00,5.766,18.7,1.8,18.786431273661318,264.501837275019
1998-01-04 19:00:00,6.416,18.6,0.6,18.60967490312499,268.1523897340054
1999-12-26 04:00:00,7.242,23.5,1.5,23.547823678633232,266.3477772196937
2000-10-30 07:00:00,5.878,14.7,15.7,21.507673049402623,223.1159497689082
2001-01-02 06:00:00,5.706,11.2,11.7,16.19660458244258,223.74919918523457
2002-01-23 19:00:00,6.412,13.7,7.9,15.814550262337528,240.03043052343327
2003-01-02 11:00:00,5.798,18.5,-1.3,18.545619428857048,274.01958248783745
2004-01-08 08:00:00,4.98,12.7,12.9,18.102486017119308,224.55238582913944
2005-12-02 12:00:00,6.25,13.6,13.6,19.23330444827409,225.0
2006-10-24 00:00:00,5.994,17.0,3.6,17.376996288196644,258.0434157568509
2007-12-09 15:00:00,6.062,17.3,-4.1,17.7792013318934,283.33278357056383
2008-03-10 17:00:00,6.236,18.2,-1.9,18.298907071188705,275.95983911071306
2009-02-10 01:00:00,5.676,16.6,-8.9,18.835339126227595,298.19774296885237
2010-02-24 14:00:00,6.872,17.1,9.4,19.513328778042972,241.20207014983123
2011-12-16 03:00:00,7.094,19.9,10.9,22.68964521538404,241.28877403005944
2012-04-25 18:00:00,5.452,9.6,13.6,16.646921637347848,215.21759296819272
2013-12-24 03:00:00,6.638,13.0,14.1,19.17837323653912,222.67561702905186
2014-02-05 09:00:00,7.046,13.7,11.3,17.758941409892653,230.48359044446443
2015-01-15 04:00:00,5.524,15.0,13.9,20.450183373260984,227.1797559917415
2016-01-02 06:00:00,6.546,16.4,5.4,17.266151858477325,251.77492488864553
2017-02-02 21:00:00,5.91,9.7,6.0,11.405700329221348,238.26085920418484
2018-01-01 09:00:00,5.378,16.5,3.6,16.888161534045082,257.69198418257207
2019-12-22 10:00:00,5.954,13.4,0.3,13.403357788255898,268.7174729172898
2020-02-16 13:00:00,5.964,13.8,12.6,18.686893802876927,227.60256220249983
