kind,level,group,mean_speed_mps,mean_dir_deg,n
wind,overall,all,6.576,292.414,236688.000
wind,season,DJF,7.782,266.973,58488.000
wind,season,MAM,6.372,316.391,59616.000
wind,season,JJA,5.534,295.676,59616.000
wind,season,SON,6.640,286.303,58968.000
current,overall,all,0.067,114.296,236688.000
current,season,DJF,0.067,295.598,58488.000
current,season,MAM,0.067,107.946,59616.000
current,season,JJA,0.067,246.406,59616.000
current,season,SON,0.067,38.230,58968.000
