Method,Count,Mean_Direction_deg,Circular_Std_deg,Period_10pct_s,Period_50pct_s,Period_90pct_s
BM Extremes,27,254.38799489817342,12.666092797282145,12.894736842105264,13.88888888888889,18.31649831649832
POT Extremes,138,260.42831809839413,13.509997951250604,12.345679012345679,14.185110663983902,17.954545454545453
All Data,236688,274.9138298311634,35.05878038402732,,,
