kind,level,group,mean_speed_mps,mean_dir_deg,n
wind,overall,all,7.224,296.556,236688.000
wind,season,DJF,8.669,266.332,58488.000
wind,season,MAM,6.953,321.105,59616.000
wind,season,JJA,5.997,302.592,59616.000
wind,season,SON,7.306,287.461,58968.000
current,overall,all,0.096,285.235,236688.000
current,season,DJF,0.096,211.260,58488.000
current,season,MAM,0.096,28.273,59616.000
current,season,JJA,0.096,228.468,59616.000
current,season,SON,0.096,19.032,58968.000
