Method,Count,Mean_Direction_deg,Circular_Std_deg,Period_10pct_s,Period_50pct_s,Period_90pct_s
BM Extremes,27,244.9717593014951,7.345120702345953,12.39819004524887,14.492753623188404,19.23076923076923
POT Extremes,139,247.8578057029202,7.891395353649859,11.76470588235294,13.88888888888889,18.940493468795356
All Data,236688,260.47097334102733,24.537122983900083,,,
